id	-OLEyOYC6P4
published	2011-02-27 16:28:02
published_unix	1298824082
title	Technocity Berlin 1993 Doku full version
description	Doku vom SFB 92/93 mit Tanith, Rok, Mijk van Dijk, Susann, Marusha, Ellen, Marco Lopez, Critzler uva.... und Bunker, Walfisch, Hardwax ..... ZEITMASCHINE https://www.facebook.com/zeitmaschine Dort sind auch viele der Protagonisten zu finden Music here http://www.discogs.com/Various-Frontpage-Forcing-The-Future-Compilation-Vol-1/release/88149
channelId	UC_LLMUs9A5nq7z0qWay5Aqw
channelTitle	coxe68
duration	PT28M40S
dimension	2d
definition	sd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	968042
likeCount	6032
dislikeCount	136
favoriteCount	0
commentCount	1583
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
