id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyNhVnrNpzqHU5hdO54AaABAg	0	0	2019-01-12 15:03:29	Moniroth Chan	My goal in life is to meet Taylor	UCn9xqtkMS1w7jbElitb6UXA	http://www.youtube.com/channel/UCn9xqtkMS1w7jbElitb6UXA	0		
Ugxrey6blj89EZdXDUF4AaABAg	0	0	2019-01-09 04:51:17	Ava	What a sweet girl😍😍😍😘😘😘😘	UC_LG7fhSZZMcbxYLN2D76Uw	http://www.youtube.com/channel/UC_LG7fhSZZMcbxYLN2D76Uw	0		
UgxGA83le3S-7tOmDy54AaABAg	0	0	2019-01-08 15:39:13	Hamad Salman	Taylor Swift Likes Letrazole But I&#39;m The Only Doctor That Knows Why	UCyCUPXmE8dae597puXZXRuA	http://www.youtube.com/channel/UCyCUPXmE8dae597puXZXRuA	0		
UgxBxyt70Cw7O1_SJ4h4AaABAg	0	0	2019-01-06 05:37:25	Michael Juerakhan	Reputation yours mine let reputation stay reputation its a reputation did i say something bad	UCkHPnvQaY1cJnGovjp0V1jg	http://www.youtube.com/channel/UCkHPnvQaY1cJnGovjp0V1jg	0		
UgwHPCrdPZAr840IzZZ4AaABAg	0	0	2019-01-04 10:36:57	Aid Junior Silva	Her fans are called &#39;swifties&#39;.... Proud to be a swiftie👍👍👍👍	UC7-hFlSVyLyW9wQDTMRMZdw	http://www.youtube.com/channel/UC7-hFlSVyLyW9wQDTMRMZdw	0		
UgyxP8dnb806oM-ah914AaABAg	0	0	2019-01-03 21:35:07	ahmed saw	Sending love to Taylor Swift from Saudi Arabia 💗💗💗❤️	UCAz1x0Wjn0xJMywv7rBdLQw	http://www.youtube.com/channel/UCAz1x0Wjn0xJMywv7rBdLQw	0		
UgwdUtMYkae10gRFKwR4AaABAg	0	0	2019-01-03 18:32:32	Daniel Ichim	She looks like Patty Boyd, my favorite Beatle wife.	UCDWAQcmD0-G33S8u-mhrVWQ	http://www.youtube.com/channel/UCDWAQcmD0-G33S8u-mhrVWQ	0		
Ugz53_EWw0YPuSPv-vF4AaABAg	0	0	2019-01-02 00:32:44	K H	Anyone else feel like all celebrities and politicians are just artificial intelligence bodies controlled by a hostile elite lmao	UCjExhUtNEiGJ6bWSdzlMW_g	http://www.youtube.com/channel/UCjExhUtNEiGJ6bWSdzlMW_g	0		
UgytQ8yq1pNudcsMbRN4AaABAg	0	0	2019-01-01 20:47:48	Punkech Patel	this was before she became a BRAND	UCQNAU7ECO9vMeIRjJvVNf7A	http://www.youtube.com/channel/UCQNAU7ECO9vMeIRjJvVNf7A	0		
UgzRaTLzsQygxIZdnHF4AaABAg	0	0	2018-12-28 16:48:40	Hannah Hepler	i hate barbra walters with a passion	UCO3NT_bPDub5bxcMLRNXB4A	http://www.youtube.com/channel/UCO3NT_bPDub5bxcMLRNXB4A	0		
Ugw1WVLls61mJ1tfj894AaABAg	1	0	2018-12-20 11:12:08	EvilPotatoWitch	didn&#39;t she write a song called &quot;Look what you made me do&quot; that basically repeated that line like, 30 times? &quot;I&#39;m not worried about losing the emotion in my lyrics&quot; it just really needed to be said 30 times.	UCabzO5WcwpzcIAvVCBK3-2g	http://www.youtube.com/channel/UCabzO5WcwpzcIAvVCBK3-2g	0		
Ugw1WVLls61mJ1tfj894AaABAg.8p4MCWhq0Qi8p7_bRBiHph		0	2018-12-21 17:15:43	Cactus SnailPear	That song it's ironic... listen to Call It What you Want or Dancing with our hands tied, or many more of the same album, one song does not define every single song of hers	UCXIO4lNJt_jsKpYjDBHrBcA	http://www.youtube.com/channel/UCXIO4lNJt_jsKpYjDBHrBcA	1	Ugw1WVLls61mJ1tfj894AaABAg	EvilPotatoWitch
UgzN7oAfYTQOpRFEFMR4AaABAg	0	0	2018-12-19 18:05:23	Tunzale Memmedova	I am Taylor Swift&#39;s best fan	UCfF8T9pwzMPZQS7K_j4rJkg	http://www.youtube.com/channel/UCfF8T9pwzMPZQS7K_j4rJkg	0		
UgwjXkAptdeJyzUCRgV4AaABAg	0	0	2018-12-15 14:05:27	Larry Pulliam	Ask Her About Judge Cavanaugh .....	UCFkAT8X7lSmN5P3DzMDDFwg	http://www.youtube.com/channel/UCFkAT8X7lSmN5P3DzMDDFwg	0		
UgzmHLA6kEETfAP_o7F4AaABAg	0	0	2018-12-12 13:33:12	Marko Obradovic	Barbara sounds like a rusty pun machine	UC9pHkEIfinxqfwQb2JPzsEw	http://www.youtube.com/channel/UC9pHkEIfinxqfwQb2JPzsEw	0		
Ugy6Q7F8aZOW60xqTIJ4AaABAg	0	0	2018-12-07 07:40:39	TheDigitalThreat	I&#39;m glad the Crypt Keeper got another job when Tales from the Crypt was canceled.	UCdKBZrvUBv36OaSTyoijnJw	http://www.youtube.com/channel/UCdKBZrvUBv36OaSTyoijnJw	0		
Ugw_kaIB4uGPywJEq5x4AaABAg	0	0	2018-12-06 05:24:06	g MaytaR	No wicked woman in Heaven halilugah. Onlybthose who have been washed invthe blood of the LAMB.	UCCzgqqUNEJjXqKyDRSMe-dA	http://www.youtube.com/channel/UCCzgqqUNEJjXqKyDRSMe-dA	0		
UgxvJE4tIkJiFbyaRHF4AaABAg	0	0	2018-12-06 05:19:59	g MaytaR	They like shear evil. Her fans are wicked. Secret society gatherings. She is a satanist. She is a demon a deciever.	UCCzgqqUNEJjXqKyDRSMe-dA	http://www.youtube.com/channel/UCCzgqqUNEJjXqKyDRSMe-dA	0		
Ugwh0qX7BCDEcoOt3Pd4AaABAg	0	0	2018-12-05 16:06:32	Evan Wilkinson	She is insanely smart. Love this woman.	UCBM3fvtdJhtz30u7bN0jmJg	http://www.youtube.com/channel/UCBM3fvtdJhtz30u7bN0jmJg	0		
UgyyycZ20-PMnjnPXmN4AaABAg	0	0	2018-12-04 19:33:40	Marissa Tito	I love going back and watching this interview I love how close she is with us swifties she’s gotten me through my darkest times in life I battle with depression and anxiety every day she’s helps me feel better and calms me down before I have an attack ♥️ I just wanna tell her thank you one day for everything	UCDMltAZcrxSPoQ_Cejt2h1w	http://www.youtube.com/channel/UCDMltAZcrxSPoQ_Cejt2h1w	0		
