type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151785869499999	https://www.facebook.com/5281959998/posts/10151785869499999/	"Facebook keeps its rulebooks and their existence largely secret. But we acquired 1 400 pages from these guidelines  and found problems not just in how the rules are drafted but in the way the moderation itself is done."	https://external.xx.fbcdn.net/safe_image.php?d=AQACNJmrCvbwvraP&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F06%2Fworld%2F28facebook-takeaways%2Fxxint-facebook-1-facebookJumbo.jpg&cfs=1&_nc_hash=AQByKQmVcrCFFfyO	https://external.xx.fbcdn.net/safe_image.php?d=AQB8g7i-ydAOCM6a&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F06%2Fworld%2F28facebook-takeaways%2Fxxint-facebook-1-facebookJumbo.jpg&_nc_hash=AQCWD0np48hM_ADe	https://www.nytimes.com/2018/12/27/world/facebook-moderators-takeaways.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T20:55:00+0000	1546030500	"2018-12-28 21:55:00"	19	2	21	13	36	2	2	0	1	1	1	0	0	0	0
link	post_page_5281959998	5281959998_10151785978419999	https://www.facebook.com/5281959998/posts/10151785978419999/	"In 1972  Jerry Lewis  best known for mainstream comedies like “The Nutty Professor ” traveled to Paris and Stockholm to make a different kind of movie: a Holocaust drama called “The Day the Clown Cried.” Decades later it is perhaps cinema s greatest White Whale."	https://external.xx.fbcdn.net/safe_image.php?d=AQDm26VDyLAh1GoR&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Farts%2F29jerry-lewis-film%2F16jerry-lewis-film1-facebookJumbo.jpg&cfs=1&sx=500&sy=0&sw=550&sh=550&_nc_hash=AQBBsmm8FQ--lalZ	https://external.xx.fbcdn.net/safe_image.php?d=AQAdFxOuoNR3fCi3&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Farts%2F29jerry-lewis-film%2F16jerry-lewis-film1-facebookJumbo.jpg&_nc_hash=AQDT5i0th6J7nvre	https://www.nytimes.com/2018/12/28/movies/jerry-lewis-day-the-clown-cried.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T20:25:00+0000	1546028700	"2018-12-28 21:25:00"	104	14	140	46	200	14	11	3	6	1	21	0	14	0	0
link	post_page_5281959998	5281959998_10151785960009999	https://www.facebook.com/5281959998/posts/10151785960009999/	"The last issue of the New York Times Magazine of the year is always dedicated to remembering some of the artists  innovators and thinkers who passed away in the year gone by.  These are the lives they lived."	https://external.xx.fbcdn.net/safe_image.php?d=AQDqnFLfIK1xZUZd&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Fmagazine%2F30mag-portraits-promo%2F30mag-portraits-promo-facebookJumbo-v2.png&cfs=1&sx=256&sy=0&sw=550&sh=550&_nc_hash=AQAf0G2-MReIbXUT	https://external.xx.fbcdn.net/safe_image.php?d=AQA1vLlJDsxdrYzw&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Fmagazine%2F30mag-portraits-promo%2F30mag-portraits-promo-facebookJumbo-v2.png&_nc_hash=AQCcZkm3REqVDmDa	https://www.nytimes.com/interactive/2018/12/27/magazine/lives-they-lived-obituaries.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T19:55:00+0000	1546026900	"2018-12-28 20:55:00"	63	3	79	27	109	2	2	0	0	15	0	0	1	0	0
link	post_page_5281959998	5281959998_10151785890624999	https://www.facebook.com/5281959998/posts/10151785890624999/	"Trump s trip to Iraq was supposed to be a secret  with Air Force One taking measures to disguise his plane. But that didn t stop a UK plane spotter from figuring out the president s trip hours before it was announced."	https://external.xx.fbcdn.net/safe_image.php?d=AQBKNlf048Tjs3tY&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Fworld%2F29trumpplane%2F29trumpplane-facebookJumbo.jpg&cfs=1&_nc_hash=AQDy6BQSNwRMorzJ	https://external.xx.fbcdn.net/safe_image.php?d=AQCA4uqrl5OnAEuK&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Fworld%2F29trumpplane%2F29trumpplane-facebookJumbo.jpg&_nc_hash=AQChu-Py0_XpQXqA	https://www.nytimes.com/2018/12/28/world/europe/air-force-one-trump-iraq.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T19:25:00+0000	1546025100	"2018-12-28 20:25:00"	417	156	827	77	1060	137	59	78	457	7	74	321	4	4	0
link	post_page_5281959998	5281959998_10151785952269999	https://www.facebook.com/5281959998/posts/10151785952269999/	"So why did an explosion turn New York City s night sky electric blue?  (No  it wasn t aliens.) (Nor was it terrorists.) (Nope  not Russian hackers either.)"	https://external.xx.fbcdn.net/safe_image.php?d=AQDhoxsRwuIp5Cuq&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Fnyregion%2F29ny-explosion1%2F29ny-explosion1-facebookJumbo.jpg&cfs=1&_nc_hash=AQBLknsEJCGHDBy_	https://external.xx.fbcdn.net/safe_image.php?d=AQD2_5ivSF1yE7SO&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F29%2Fnyregion%2F29ny-explosion1%2F29ny-explosion1-facebookJumbo.jpg&_nc_hash=AQB2JoUfHFwbMqB6	https://www.nytimes.com/2018/12/28/nyregion/transformer-explosion-con-ed.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T19:25:00+0000	1546025100	"2018-12-28 20:25:00"	295	116	409	93	618	101	82	19	114	10	53	49	1	1	0
status	post_page_5281959998	5281959998_10151785934179999	https://www.facebook.com/5281959998/posts/10151785934179999/	"The Banks children go on an adventure that takes them inside of a ceramic bowl and into an animated countryside  in this fanciful scene from the new Disney sequel Mary Poppins Returns. The film’s director Rob Marshall narrates a closer look at the sequence.   Read our review: https://nyti.ms/2LubIAc"					2018-12-28T19:10:17+0000	1546024217	"2018-12-28 20:10:17"	26	3	26	3	32	3	3	0	0	0	0	0	0	0	0
link	post_page_5281959998	5281959998_10151785810489999	https://www.facebook.com/5281959998/posts/10151785810489999/	" It feels like family.  Across the United States  legions of former Sears workers gather regularly to reminisce about their long careers in retailing."	https://external.xx.fbcdn.net/safe_image.php?d=AQBfJ3dtz7RznbyW&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Fbusiness%2F00sears-01%2F00sears-01-facebookJumbo.jpg&cfs=1&sx=201&sy=0&sw=550&sh=550&_nc_hash=AQDkP-bOG4DM_Kmg	https://external.xx.fbcdn.net/safe_image.php?d=AQDSGm6Ebe6XJo5M&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Fbusiness%2F00sears-01%2F00sears-01-facebookJumbo.jpg&_nc_hash=AQDBzx4L5Tiq1Rzc	https://www.nytimes.com/2018/12/28/business/sears-retirees-alumni-meetings.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T18:55:00+0000	1546023300	"2018-12-28 19:55:00"	126	27	191	19	237	26	22	4	42	13	0	1	49	2	0
link	post_page_5281959998	5281959998_10151785897894999	https://www.facebook.com/5281959998/posts/10151785897894999/	"Were you a regular at Output? We want to hear from you. What are your favorite memories? If you weren t a regular  but you had 1 memorable night there  tell us about it. Brooklyn’s first fully-licensed venue dedicated to house and techno music will close forever on January 1  2019."	https://external.xx.fbcdn.net/safe_image.php?d=AQBYgOIO--pM9Nin&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fmultimedia%2Fformacist-output-memories-1545925546462%2Fformacist-output-memories-1545925546462-facebookJumbo.jpg&cfs=1&sx=0&sy=0&sw=549&sh=549&_nc_hash=AQD6o68y_F14DilG	https://external.xx.fbcdn.net/safe_image.php?d=AQBhT5lYsQ3Wha_R&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fmultimedia%2Fformacist-output-memories-1545925546462%2Fformacist-output-memories-1545925546462-facebookJumbo.jpg&_nc_hash=AQDSQ4k_ppZMmjq6	https://www.nytimes.com/2018/12/27/nyregion/output-brooklyn-closing.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T18:35:00+0000	1546022100	"2018-12-28 19:35:00"	22	19	34	4	57	19	13	6	5	0	2	0	10	0	0
link	post_page_5281959998	5281959998_10151785858099999	https://www.facebook.com/5281959998/posts/10151785858099999/	"More than 2 600 migrant children were separated from their parents after crossing the Southwest border in the U.S.  the majority of them this year.  For those who have been reunited  the effects of that separation are far from over. These are the stories of a few families who spent several weeks or months apart."	https://external.xx.fbcdn.net/safe_image.php?d=AQCdodCTbnDqzNrm&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F20%2Fus%2F00REUNITED2%2F00REUNITED2-facebookJumbo-v6.jpg&cfs=1&sx=398&sy=0&sw=549&sh=549&_nc_hash=AQDJXRh4GVfjWwsT	https://external.xx.fbcdn.net/safe_image.php?d=AQAGlXFpCaz7_wG6&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F20%2Fus%2F00REUNITED2%2F00REUNITED2-facebookJumbo-v6.jpg&_nc_hash=AQCO8OGNdm2qgjDr	https://www.nytimes.com/interactive/2018/12/27/us/migrant-families-reunited-border.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T18:25:00+0000	1546021500	"2018-12-28 19:25:00"	82	181	239	52	472	158	29	129	148	4	4	3	120	26	0
link	post_page_5281959998	5281959998_10151785815164999	https://www.facebook.com/5281959998/posts/10151785815164999/	"More than a week after somebody (or somebodies) with a drone (or drones) shut down a major airport and ruined the travel plans of tens of thousands of people  the British police had little to offer on Thursday."	https://external.xx.fbcdn.net/safe_image.php?d=AQBCDKgRphtSpgPo&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fworld%2F28gatwick%2F28gatwick-facebookJumbo.jpg&cfs=1&sx=408&sy=0&sw=550&sh=550&_nc_hash=AQDnCYTw56dPZHVF	https://external.xx.fbcdn.net/safe_image.php?d=AQDGiyZYyfHRAM7f&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fworld%2F28gatwick%2F28gatwick-facebookJumbo.jpg&_nc_hash=AQDekOaxTKv_vB1u	https://www.nytimes.com/2018/12/27/world/europe/gatwick-airport-drone.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T18:10:00+0000	1546020600	"2018-12-28 19:10:00"	37	20	56	20	96	18	12	6	7	1	5	5	6	2	0
