type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151796471574999	https://www.facebook.com/5281959998/posts/10151796471574999/	"The hire is part of a flurry of activity by Senator Kirsten Gillibrand in recent weeks as the 2020 campaign gets underway."	https://external.xx.fbcdn.net/safe_image.php?d=AQC7pnA4LDRzhnEd&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F12%2Fworld%2F12gillibrand1%2F12gillibrand1-facebookJumbo.jpg&cfs=1&sx=241&sy=0&sw=550&sh=550&_nc_hash=AQCDx3WCYGnwEoP1	https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F12%2Fworld%2F12gillibrand1%2F12gillibrand1-facebookJumbo.jpg&_nc_hash=AQD2Y3iUq5TrSpZb	https://www.nytimes.com/2019/01/11/us/politics/gillibrand-2020-presidential-run.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T14:55:00+0000	1547218500	"2019-01-11 15:55:00"	12	3	13	0	16	1	0	0	0	0	0
link	post_page_5281959998	5281959998_10151796327234999	https://www.facebook.com/5281959998/posts/10151796327234999/	" What we don t want is the perception that we re a dusty border town with burros and carts  AK-47s being fired every 30 minutes and Molotov cocktails being thrown. Because that’s not what s happening in McAllen   said a city commissioner."	https://external.xx.fbcdn.net/safe_image.php?d=AQB_E8pldc_4JHQy&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2F11bordertown-2-print%2F11bordertown-top-facebookJumbo.jpg&cfs=1&_nc_hash=AQDkibAq80Xh5BrF	https://external.xx.fbcdn.net/safe_image.php?d=AQCyOsgX7BkTSNMo&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2F11bordertown-2-print%2F11bordertown-top-facebookJumbo.jpg&_nc_hash=AQC1BJzsTrFDQYEE	https://www.nytimes.com/2019/01/10/us/trump-texas-border-visit.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T14:24:00+0000	1547216640	"2019-01-11 15:24:00"	132	44	150	31	225	8	4	6	0	0	0
link	post_page_5281959998	5281959998_10151796332974999	https://www.facebook.com/5281959998/posts/10151796332974999/	"Mike Pompeo’s claim that the Donald J. Trump administration has been  clear  about withdrawing troops from Syria ignored clearly contradictory statements."	https://external.xx.fbcdn.net/safe_image.php?d=AQD2QSZHBE91yOK4&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11dc-factcheck%2F11dc-factcheck-facebookJumbo.jpg&cfs=1&_nc_hash=AQBwMYYpU4NoSefH	https://external.xx.fbcdn.net/safe_image.php?d=AQDfrEgTvqCVG1TL&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11dc-factcheck%2F11dc-factcheck-facebookJumbo.jpg&_nc_hash=AQCdxCADZfh799pB	https://www.nytimes.com/2019/01/10/us/politics/the-inaccuracies-in-pompeos-cairo-speech.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T13:55:00+0000	1547214900	"2019-01-11 14:55:00"	110	68	267	53	388	1	42	9	10	95	0
link	post_page_5281959998	5281959998_10151796294199999	https://www.facebook.com/5281959998/posts/10151796294199999/	"The economics profession is facing a mounting crisis of sexual harassment  discrimination and bullying that women in the field say has pushed many of them to the sidelines — or out of the field entirely."	https://external.xx.fbcdn.net/safe_image.php?d=AQAwQVZcy7GL3Y7N&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fbusiness%2F11econwomen01%2F11econwomen01-facebookJumbo.jpg&cfs=1&sx=285&sy=0&sw=550&sh=550&_nc_hash=AQB8z3UInw0dQgg9	https://external.xx.fbcdn.net/safe_image.php?d=AQAFueKwxgGFbZ1N&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fbusiness%2F11econwomen01%2F11econwomen01-facebookJumbo.jpg&_nc_hash=AQCt5uTIGUOGvdEw	https://www.nytimes.com/2019/01/10/business/economics-sexual-harassment-metoo.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T13:25:00+0000	1547213100	"2019-01-11 14:25:00"	289	52	336	53	441	16	7	14	1	9	0
link	post_page_5281959998	5281959998_10151796228679999	https://www.facebook.com/5281959998/posts/10151796228679999/	"When a president comes to town there are two realities  the one the White House hopes to create and the one that actually exists."	https://external.xx.fbcdn.net/safe_image.php?d=AQBBDqZcwmPTc6N7&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11dc-mcallen%2F11dc-mcallen-facebookJumbo.jpg&cfs=1&sx=499&sy=0&sw=550&sh=550&_nc_hash=AQDiuQf3jW26yoLd	https://external.xx.fbcdn.net/safe_image.php?d=AQDuCyRYwZsI9_hV&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11dc-mcallen%2F11dc-mcallen-facebookJumbo.jpg&_nc_hash=AQD5NHAuYmoC-9uY	https://www.nytimes.com/2019/01/10/us/politics/trump-mcallen-border-crisis.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T12:55:00+0000	1547211300	"2019-01-11 13:55:00"	326	535	1014	128	1677	6	225	17	20	420	0
link	post_page_5281959998	5281959998_10151796166709999	https://www.facebook.com/5281959998/posts/10151796166709999/	" Plenty of money in this city. It s just in the wrong hands!  New York s Mayor Bill de Blasio cast himself as an aspiring Robin Hood — aiming to take from the rich and give to the poor — even as he has thus far been unsuccessful in attempts to raise taxes on high earners."	https://external.xx.fbcdn.net/safe_image.php?d=AQDMF7-0OTOwExOO&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fnyregion%2F11sotc01%2F11sotc01-facebookJumbo-v2.jpg&cfs=1&sx=3&sy=0&sw=550&sh=550&_nc_hash=AQAVi0ONqsDZ64zf	https://external.xx.fbcdn.net/safe_image.php?d=AQB_ld8fyF7d4uOJ&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fnyregion%2F11sotc01%2F11sotc01-facebookJumbo-v2.jpg&_nc_hash=AQBkyzOf5fWsJJM-	https://www.nytimes.com/2019/01/10/nyregion/bill-de-blasio-state-of-city.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T12:25:00+0000	1547209500	"2019-01-11 13:25:00"	998	379	1253	294	1926	131	75	26	1	22	0
link	post_page_5281959998	5281959998_10151796349079999	https://www.facebook.com/5281959998/posts/10151796349079999/	" I m less interested with how we secure the border than the fact that we do it   said Mark Napier  the sheriff of Pima County."	https://external.xx.fbcdn.net/safe_image.php?d=AQDeo8OI8zX5YNdx&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11daily-dc-trump-sub1-copy%2F11dc-trump-sub1-facebookJumbo.jpg&cfs=1&sx=464&sy=0&sw=550&sh=550&_nc_hash=AQDhLq_VHIKAnbvy	https://external.xx.fbcdn.net/safe_image.php?d=AQA56-goaSIrTg4Q&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11daily-dc-trump-sub1-copy%2F11dc-trump-sub1-facebookJumbo.jpg&_nc_hash=AQB5Eg0AOT4pKIW_	https://www.nytimes.com/2019/01/11/podcasts/the-daily/mark-napier-sheriff-border-wall.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T12:10:00+0000	1547208600	"2019-01-11 13:10:00"	182	268	237	30	535	9	7	5	3	31	0
link	post_page_5281959998	5281959998_10151796238734999	https://www.facebook.com/5281959998/posts/10151796238734999/	"Jakiw Palij was the last known Nazi war crimes suspect residing in the United States. He was finally deported to Germany in 2018."	https://external.xx.fbcdn.net/safe_image.php?d=AQBa5n2j7hzzi_Cl&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2F11palij-obit-print%2Fmerlin_10966379_a4bdb2d6-32e4-4656-8a67-6ca823f5918c-facebookJumbo.jpg&cfs=1&sx=367&sy=0&sw=550&sh=550&_nc_hash=AQCL9xy07iphO0_b	https://external.xx.fbcdn.net/safe_image.php?d=AQBCVK9BD4lmPzLZ&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2F11palij-obit-print%2Fmerlin_10966379_a4bdb2d6-32e4-4656-8a67-6ca823f5918c-facebookJumbo.jpg&_nc_hash=AQAp9qdOO3ZMnCNW	https://www.nytimes.com/2019/01/10/world/europe/jakiw-palij-dead.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T11:55:00+0000	1547207700	"2019-01-11 12:55:00"	163	97	193	24	314	13	5	6	2	4	0
link	post_page_5281959998	5281959998_10151796277089999	https://www.facebook.com/5281959998/posts/10151796277089999/	"Mungau Dain  a tribal villager from Vanuatu  starred in “Tanna ” an Oscar-nominated film about his Pacific island homeland."	https://external.xx.fbcdn.net/safe_image.php?d=AQA5AFfhVTtx5T4t&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F09%2Fworld%2F09dain-1%2F09dain-1-facebookJumbo.jpg&cfs=1&_nc_hash=AQAX9ptU1_Y01Awc	https://external.xx.fbcdn.net/safe_image.php?d=AQDe5Skr4ayvYalk&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F09%2Fworld%2F09dain-1%2F09dain-1-facebookJumbo.jpg&_nc_hash=AQDr9_Xj8LsrsC46	https://www.nytimes.com/2019/01/10/obituaries/mungau-dain-dead.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T11:40:00+0000	1547206800	"2019-01-11 12:40:00"	73	7	175	11	193	0	0	12	90	0	0
link	post_page_5281959998	5281959998_10151796247669999	https://www.facebook.com/5281959998/posts/10151796247669999/	"An amendment passed this week requires Prime Minister Theresa May to come up with a Plan B within 3 working parliamentary days if her plan is defeated. She does not appear to have a Plan B."	https://external.xx.fbcdn.net/safe_image.php?d=AQB7h2x7NE0GlQ2L&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11brexit-print%2F11brexit1-facebookJumbo.jpg&cfs=1&sx=250&sy=0&sw=550&sh=550&_nc_hash=AQCE27uQSsKQ361B	https://external.xx.fbcdn.net/safe_image.php?d=AQAP_TRsV-12sm_u&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11brexit-print%2F11brexit1-facebookJumbo.jpg&_nc_hash=AQCnILfFxrEmm5NG	https://www.nytimes.com/2019/01/10/world/europe/theresa-may-brexit-bercow.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-11T11:25:00+0000	1547205900	"2019-01-11 12:25:00"	62	69	84	13	166	1	18	3	0	0	0
